,true,optimal,linear,conditional,shift,cs,cs_shift,lasso_full,boosting,MLP_global,MLP_2D,trans_1D_T4,trans_2D_TCTC
optimal,0.8439420497088768,,,,,,,,,,,,
linear,0.5743813135722385,0.6819876194927532,,,,,,,,,,,
conditional,0.5737227036525048,0.6794367876271123,0.3316872675994647,,,,,,,,,,
shift,0.5764688489430766,0.6816799633858683,0.33090168769889444,0.3318098649111313,,,,,,,,,
cs,0.5742571571910955,0.6852966935536006,0.3331046123607907,0.3304746386154906,0.33456033726520606,,,,,,,,
cs_shift,0.5801098959917311,0.6829096441535473,0.3325543696259048,0.32665865742189587,0.3291064828062027,0.33768398980943426,,,,,,,
lasso_full,0.2597938394232347,0.30548053077831644,0.22426799850512943,0.15601652181123166,0.2163693501048043,0.2145890005919235,0.2305498270831128,,,,,,
boosting,0.26542520808313913,0.2351313251599176,0.16163404810156382,0.1508967099998378,0.16230878737757246,0.1583830923888068,0.1688159276242555,0.739151785079188,,,,,
MLP_global,0.9893166082660099,0.8515521728384708,0.5824169735141864,0.5682565873099001,0.5828285742155832,0.5830202055067929,0.5883160965249173,0.2686835990259275,0.2689049019547241,,,,
MLP_2D,0.9634443859409356,0.881575053181874,0.60490323586669,0.5591691383674088,0.61202654991315,0.6132293373151668,0.6177452940466027,0.26773860125447607,0.2516504969064717,0.9596216731318349,,,
trans_1D_T4,0.9394730993058525,0.8930314384976471,0.6376890219083872,0.5400885282686931,0.6142991502942643,0.6380864281283093,0.6159397864999834,0.27824177362279356,0.25185661639644497,0.9393334594142312,0.9413093092714122,,
trans_2D_TCTC,0.849227959857181,0.9785515275206983,0.6827473044471919,0.6188036863598669,0.67932442205717,0.6800444957161773,0.6770132201999354,0.3027501681042898,0.23501216586194998,0.8571122703612188,0.8868331812183089,0.9012250771467398,
trans_2D_TCTCTCTC,0.8573843135662825,0.9772194730464004,0.677894045494945,0.6266728084300202,0.6769847684547312,0.6768123345718168,0.675061876829528,0.3031582662722917,0.2363236957699438,0.8643193617371993,0.8924691588009678,0.903941643661547,0.9856100689951374
